Prod ID,KPC Code,Portfolio,Initiative Name ,Start,End,Domain Owner,Lead,Tech Lead,Squads,Estado,BRM & Scope,L1 Domain,L2 Capability,L3 Capabilities,IT Service Codes,IT Services
IDPRD-015,,AI Initiatives,Proceso AI para crear SDKs customizable para PSP o Rieles,Dec-25,Jan-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ 4,En Curso,,Developer Platform,SDK Management,SDK Template Generation | Client-specific Customization | Documentation Automation | Versioning & Release,ITS-014 | ITS-016,ITS-014: Developer SDK Factory | ITS-016: Rail/PSP Onboarding Service
IDPRD-016,,AI Initiatives,Payin PSP proxy Hub's - IA,Jan-26,feb-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ 4,En Curso,,Payments,Payin Orchestration,PSP Abstraction Layer | Idempotency & Retries | Webhook/Event Handling | Routing Rules,ITS-003 | ITS-004 | ITS-016,ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service | ITS-016: Rail/PSP Onboarding Service
IDPRD-017,,AI Initiatives,Payout PSP proxy Hub's - IA,Jan-26,feb-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ 4,En Curso,,Payments,Payout Orchestration,PSP Abstraction Layer | Idempotency & Retries | Status Tracking | Routing Rules,ITS-004 | ITS-003 | ITS-016,ITS-004: Payout Orchestration Service | ITS-003: Payin Orchestration Service | ITS-016: Rail/PSP Onboarding Service
IDPRD-018,,PriceOps,Routing PAYOUT- Patrones,Jan-26,feb-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ 4,En Curso,,Payments,Payout Routing,Rule-based Routing | Cost/Latency Optimization | Fallback & Resilience | Routing Analytics,ITS-005 | ITS-004,ITS-005: Routing & Decisioning Service | ITS-004: Payout Orchestration Service
IDPRD-019,,Rails & Integration,COGS-RAIL - Ruteo general de precios,Jan-26,mar-26,DP (Carlos Villarán),TBD,TBD,SQ 4,Pendiente,,PriceOps,Rail COGS & Pricing,Rail Unit Cost Model | Margin / CoGS Analytics | Routing Decisioning by CoGS | Pricing Rules,ITS-012,ITS-012: PriceOps - Rail CoGS Model
IDPRD-020,,Rails & Integration,Observabilidad y Reportes,feb-26,mar-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ 4,Pendiente,,Observability & Governance,Monitoring & Reporting,Dashboards & KPIs | Alerts & Notifications | SLA/SLO Monitoring | Auditability,ITS-013,ITS-013: Observability & Reporting
IDPRD-021,,Rails & Integration,PLAYBOOK para apertura de nuevos mercado,ene-26,ene-26,DP (Carlos Villarán),Carlos Villaran,TBD,SQ 4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017,ITS-017: Expansion Enablement
IDPRD-022,,Rails & Integration,MEX: Estabilidad Mercado Payin y Payout,Apr-26,Apr-26,DP (Carlos Villarán),Dennys Contreras,TBD,SQ 2,En Curso,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-023,,Rails & Integration,CHL: Estabilidad Mercado Payin y Payout,feb-26,may-26,DP (Carlos Villarán),Jime More,TBD,"SQ4, SQ1",En Curso,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-024,,Rails & Integration,COL: Apertura Mercado Payin y Payout,feb-26,Apr-26,DP (Carlos Villarán),Dennys Contreras,TBD,"SQ4, SQ2",En Curso,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-025,,Rails & Integration,PER: Estabilidad Mercado Payin y Payout,Jan-26,mar-26,DP (Carlos Villarán),Jime More,TBD,"SQ4, SQ1",En Curso,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-026,,Rails & Integration,ECU: Apertura Mercado Payin y Payout,Q1-26,Q1-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-027,,Rails & Integration,PAN: Apertura Mercado Payin y Payout,Q2-26,Q2-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-028,,Rails & Integration,CRI: Apertura Mercado Payin y Payout,Q2-26,Q2-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-029,,Rails & Integration,BOL: Apertura Mercado Payin y Payout,Q2-27,Q2-27,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-030,,Rails & Integration,BRA: Apertura Mercado Payin y Payout,Q1-27,Q1-27,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-031,,Rails & Integration,USA: Apertura Mercado Payin y Payout,Q1-27,Q1-27,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-032,,Rails & Integration,SLV: Apertura Mercado Payin y Payout,Q3-26,Q1-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-033,,Rails & Integration,GTM: Apertura Mercado Payin y Payout,Q3-26,Q1-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-034,,Rails & Integration,ARG: Apertura Mercado Payin y Payout,Q4-26,Q4-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,,Expansion,Country Enablement,Country Configuration | Local Rail/PSP Connections | Regulatory Checklist | Go-live Readiness,ITS-017 | ITS-003 | ITS-004,ITS-017: Expansion Enablement | ITS-003: Payin Orchestration Service | ITS-004: Payout Orchestration Service
IDPRD-035,,Plataforma,Mejora continua Payin,Q1-26,Q1-26,DPLT ,Karina,Juan Carlos,SQ2,En curso,,Payments,Payin Reliability,Incident Reduction | Performance & Latency Improvements | Monitoring Enhancements | Operational Playbooks,ITS-003,ITS-003: Payin Orchestration Service
IDPRD-036,,Plataforma,Mejora continua Payout,Q1-26,Q1-26,DPLT ,Karina,Lindthon Iparreño,SQ3,En curso,,Payments,Payout Reliability,Incident Reduction | Performance & Latency Improvements | Monitoring Enhancements | Operational Playbooks,ITS-004,ITS-004: Payout Orchestration Service
IDPRD-037,,VAR,Validación de titularidad,Q1-26,Q1-26,DPLT ,Karina,Lindthon Iparreño,SQ3,En curso,,RiskOps,Identity & Validation,Beneficiary/Account Validation | Name Matching Rules | Exception Handling | Audit Trails,ITS-009,ITS-009: RiskOps - Titularidad/Validation Service
IDPRD-038,,Servicio,Sistema de fraude,Q4-25,Q1-26,DPLT ,Karina,Juan Carlos,SQ2,En curso,,RiskOps,Fraud Management,Fraud Rules & Signals | Case Management | Risk Scoring | Fraud Analytics,ITS-008,ITS-008: RiskOps - Fraud Service
IDPRD-039,,Servicio,Host to Host,Q4-25,Q1-26,DPLT ,Karina,Lindthon Iparreño,SQ3,En curso,,Connectivity & Partners,Bank Connectivity,Host-to-Host Integration | File Exchange (SFTP/API) | Bank Acknowledgements | Operational Monitoring,ITS-015,ITS-015: Bank Connectivity (H2H)
IDPRD-040,,VAR,Recaudo 2.0,Q4-25,Q1-26,DPLT ,Karina,Juan Carlos,SQ2,Definición,,Payments,Collections (Pay-in),Payment Collection Methods | Payment Notification Handling | Settlement Tracking | Collections Reconciliation,ITS-999,ITS-999: General Platform Service
IDPRD-041,,ProductOps,"Product Ops (framework, standard, KPIs y Gobierno)",,,CDPO,Maria,TBD,SQ AI,Pendiente,,Observability & Governance,Product Operations,Standards (PRD/SRS) | Portfolio Governance | KPI Definitions | Rituals & Cadence,ITS-024,ITS-024: Product Ops & Governance
IDPRD-042,,ProductOps,VEGA - integracion con PULSE & OKRs - Gobierno,Q1 - 26,Q2 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,,Observability & Governance,Change Governance,Change Log & Traceability | Incident & RCA Governance | OKR/Outcome Linkage | Cross-team RACI,ITS-025,ITS-025: Change Governance (VEGA)
IDPRD-043,,AI Initiatives,KAIA - Kashio AI Agentic Framework,Q1 - 26,Q4 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,,Data & AI,AI Agentic Framework,Knowledge/RAG Layer | Workflow Orchestration | Agent Monitoring & Eval | Safety & Governance,ITS-018,ITS-018: AI Agentic Framework (KAIA)
IDPRD-044,,AI Initiatives,DataBridge (Product DataLake),Q1 - 26,Q4 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,,Data & AI,Product Data Platform,Ingestion Pipelines | Unified Data Model | Analytics & BI Layer | Data Quality & Lineage,ITS-020,ITS-020: Product Data Platform (DataBridge)
IDPRD-045,,AI Initiatives,"ARIA (Ai Content Generation, pipelines de generacion)",Q1 - 26,Q1 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,,Data & AI,AI Content Pipelines,Prompt/Template Library | Content Generation Pipelines | Human Approval Workflow | Publishing & Analytics,ITS-019,ITS-019: AI Content Pipelines (ARIA/ProductAI)
IDPRD-046,,AI Initiatives,"AI enabled Product Tooling (BizProposal, product selector usando KPC",Q1 - 26,Q2 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,,Data & AI,AI Product Tooling,Product Selector (KPC) | Proposal Generation | Pricing/Quote Automation | Sales Enablement Analytics,ITS-026,ITS-026: AI Product Tooling (BizProposal)
IDPRD-048,,RiskOps,RiskOps reframing Q1-Q4,Q1 - 26,Q4 - 26,CDPO,Maria,TBD,TBD,Pendiente,,RiskOps,Risk Governance,Controls & Policies | Risk Scoring Model | Loss Monitoring | Operational Controls,ITS-999,ITS-999: General Platform Service
IDPRD-049,,PriceOps,PriceOps Billing & Cogs - Q2 - Q4,Q2 - 26,Q4 - 26,CDPO,Maria,TBD,TBD,Pendiente,,PriceOps,Rail COGS & Pricing,Rail Unit Cost Model | Margin / CoGS Analytics | Routing Decisioning by CoGS | Pricing Rules,ITS-012 | ITS-011,ITS-012: PriceOps - Rail CoGS Model | ITS-011: PriceOps - Rating & Billing
IDPRD-050,,Strat Bets,EPS - MGS Q2-Q4,Q4 - 26,Q1 - 26,CDPO,Maria,TBD,TBD,Pendiente,,Platform,Enterprise Services,Enterprise Entitlements | Service Catalog | Access Controls | Auditability,ITS-999,ITS-999: General Platform Service
IDPRD-051,,ProductOps,Roadmap Expansion Producto por Pais - CDPO,TBD,TBD,CDPO,Maria,TBD,TBD,Pendiente,,Expansion,Portfolio by Country,Country Roadmap Tracking | Capacity Planning | Launch Governance | Regional KPIs,ITS-999,ITS-999: General Platform Service
