Prod ID,KPC Code,Portfolio,Initiative Name ,Start,End,Domain Owner,Lead,Tech Lead,Squads,Estado,BRM & Scope
IDPRD-027,,Rails & Integration,PAN: Apertura Mercado Payin y Payout,Q2-26,Q2-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-028,,Rails & Integration,CRI: Apertura Mercado Payin y Payout,Q2-26,Q2-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-029,,Rails & Integration,BOL: Apertura Mercado Payin y Payout,Q2-27,Q2-27,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-030,,Rails & Integration,BRA: Apertura Mercado Payin y Payout,Q1-27,Q1-27,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-031,,Rails & Integration,USA: Apertura Mercado Payin y Payout,Q1-27,Q1-27,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-032,,Rails & Integration,SLV: Apertura Mercado Payin y Payout,Q3-26,Q1-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-033,,Rails & Integration,GTM: Apertura Mercado Payin y Payout,Q3-26,Q1-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-034,,Rails & Integration,ARG: Apertura Mercado Payin y Payout,Q4-26,Q4-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-035,,Plataforma,Mejora continua Payin,Q1-26,Q1-26,DPLT ,Karina,Juan Carlos,SQ2,En curso,
IDPRD-036,,Plataforma,Mejora continua Payout,Q1-26,Q1-26,DPLT ,Karina,Lindthon Iparreño,SQ3,En curso,
IDPRD-037,,VAR,Validación de titularidad,Q1-26,Q1-26,DPLT ,Karina,Lindthon Iparreño,SQ3,En curso,
IDPRD-038,,Servicio,Sistema de fraude,Q4-25,Q1-26,DPLT ,Karina,Juan Carlos,SQ2,En curso,
IDPRD-039,,Servicio,Host to Host,Q4-25,Q1-26,DPLT ,Karina,Lindthon Iparreño,SQ3,En curso,
IDPRD-040,,VAR,Recaudo 2.0,Q4-25,Q1-26,DPLT ,Karina,Juan Carlos,SQ2,Definición,
IDPRD-041,,ProductOps,"Product Ops (framework, standard, KPIs y Gobierno)",,,CDPO,Maria,TBD,SQ AI,Pendiente,
IDPRD-042,,ProductOps,VEGA - integracion con PULSE & OKRs - Gobierno,Q1 - 26,Q2 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,
IDPRD-043,,AI Initiatives,KAIA - Kashio AI Agentic Framework,Q1 - 26,Q4 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,
IDPRD-044,,AI Initiatives,DataBridge (Product DataLake),Q1 - 26,Q4 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,
IDPRD-045,,AI Initiatives,"ARIA (Ai Content Generation, pipelines de generacion)",Q1 - 26,Q1 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,
IDPRD-046,,AI Initiatives,"AI enabled Product Tooling (BizProposal, product selector usando KPC",Q1 - 26,Q2 - 26,CDPO,Maria,TBD,SQ AI,Pendiente,
IDPRD-048,,RiskOps,RiskOps reframing Q1-Q4,Q1 - 26,Q4 - 26,CDPO,Maria,TBD,TBD,Pendiente,
IDPRD-049,,PriceOps,PriceOps Billing & Cogs - Q2 - Q4,Q2 - 26,Q4 - 26,CDPO,Maria,TBD,TBD,Pendiente,
IDPRD-050,,Strat Bets,EPS - MGS Q2-Q4,Q4 - 26,Q1 - 26,CDPO,Maria,TBD,TBD,Pendiente,
IDPRD-051,,ProductOps,Roadmap Expansion Producto por Pais - CDPO,TBD,TBD,CDPO,Maria,TBD,TBD,Pendiente,
